STEP,優先度,No,質問,なぜ聞くか,例,選択肢,回答（ここに記入）
STEP 1: あなたの商売のこと,必修,Q1,屋号・会社名は？,提案書・SNSアカウント設計の核になります,,,
STEP 1: あなたの商売のこと,必修,Q2,業種・カテゴリは？,業界別の集客パターンが違うため、リサーチの起点になります,カフェ／美容室／クリニック／個人事務所／小売店／ドッグラン／士業など,,
STEP 1: あなたの商売のこと,必修,Q3,所在地は？（市区町村まで）,商圏分析と地域ハッシュタグ戦略の基礎になります,,,
STEP 1: あなたの商売のこと,必修,Q4,開業年・事業を始めた時期は？,「新規オープン」「老舗」など、訴求軸が変わります,,,
STEP 1: あなたの商売のこと,必修,Q5,あなたの商売を、家族や友人に説明するなら？（一言で）,あなた自身の言葉が、いちばん刺さるコピーになります,「他のわんちゃんを気にせずプライベートで遊べる完全予約制のドッグラン」,,
STEP 2: お客様のこと,必修,Q6,メインのお客様像は？（年代・性別・地域）,SNSのターゲット設定の核になります,30〜50代女性・岡山市内・小型犬を飼っている飼い主,,
STEP 2: お客様のこと,必修,Q7,そのお客様の暮らしを思い浮かべると？（仕事・家族・趣味など）,SNSで「響く時間帯」と「響く言葉」が見えてきます,共働き・子なし夫婦・週末は犬と過ごす時間が癒し,,
STEP 2: お客様のこと,必修,Q8,お客様が抱えている悩み・困りごとは？,SNS投稿の「お役立ち情報」の素材になります,他の犬と相性が心配／時間が取れない／近所のドッグランが満員,,
STEP 2: お客様のこと,必修,Q9,お客様が求めている「結果」「体験」は？,USP（独自の売り）と訴求コピーの素材になります,愛犬とふたりだけの安心できる時間／思いきり走らせてあげたい,,
STEP 2: お客様のこと,必修,Q10,何度も来てくれる「常連さん」の特徴は？,「同じような人を集める」戦略を組むための基準点になります,,,
STEP 2: お客様のこと,必修,Q11,逆に「来てほしくない」お客様の特徴は？（あれば）,誰を寄せないかを決めることで、ファンの濃度が上がります,ルールを守らない方／マナーが悪い方／値引き交渉が激しい方,,
STEP 3: 商品・サービスのこと,必修,Q12,主力商品・サービスは？（3つまで）,SNSで何を中心に発信するかを決めます,,,
STEP 3: 商品・サービスのこと,必修,Q13,料金体系は？（だいたいで結構です）,料金訴求の組み立て方を考えます,,,
STEP 3: 商品・サービスのこと,必修,Q14,最大の強み・他のお店にない特徴は？,これがUSP（独自の売り）の中核になります,,,
